,0,1,2,3,4,5,6
0,,coef,std err,t,P>|t|,[0.025,0.975]
1,Intercept,    0.7702,    0.012,   64.675, 0.000,    0.747,    0.794
2,state[T.Arizona],   -0.5378,    0.015,  -35.263, 0.000,   -0.568,   -0.508
3,state[T.California],   -0.5063,    0.014,  -35.545, 0.000,   -0.534,   -0.478
4,state[T.Colorado],   -0.1104,    0.015,   -7.242, 0.000,   -0.141,   -0.080
5,state[T.Connecticut],   -0.3851,    0.015,  -25.252, 0.000,   -0.415,   -0.355
6,state[T.District of Columbia],   -0.4350,    0.015,  -28.522, 0.000,   -0.465,   -0.405
7,state[T.Florida],   -0.3819,    0.015,  -25.040, 0.000,   -0.412,   -0.352
8,state[T.Hawaii],   -0.3524,    0.014,  -24.743, 0.000,   -0.381,   -0.324
9,state[T.Louisiana],   -0.2217,    0.015,  -14.536, 0.000,   -0.252,   -0.192
10,state[T.Maryland],   -0.3126,    0.015,  -20.494, 0.000,   -0.343,   -0.282
11,state[T.Michigan],   -0.5458,    0.015,  -35.787, 0.000,   -0.576,   -0.516
12,state[T.Minnesota],   -0.2507,    0.015,  -16.436, 0.000,   -0.281,   -0.221
13,state[T.Missouri],   -0.3709,    0.015,  -24.321, 0.000,   -0.401,   -0.341
14,state[T.Montana],   -0.1234,    0.015,   -8.092, 0.000,   -0.154,   -0.093
15,state[T.Nebraska],   -0.3358,    0.015,  -22.015, 0.000,   -0.366,   -0.306
16,state[T.New Hampshire],   -0.2342,    0.015,  -15.353, 0.000,   -0.264,   -0.204
17,state[T.New Jersey],   -0.4657,    0.015,  -30.534, 0.000,   -0.496,   -0.436
18,state[T.New York],   -0.6485,    0.015,  -42.520, 0.000,   -0.679,   -0.618
19,state[T.North Carolina],   -0.2533,    0.015,  -16.609, 0.000,   -0.283,   -0.223
20,state[T.Ohio],   -0.2127,    0.015,  -13.946, 0.000,   -0.243,   -0.183
21,state[T.Pennsylvania],   -0.3240,    0.015,  -21.244, 0.000,   -0.354,   -0.294
22,state[T.South Carolina],   -0.5092,    0.015,  -33.389, 0.000,   -0.539,   -0.479
23,state[T.Tennessee],   -0.4431,    0.015,  -29.052, 0.000,   -0.473,   -0.413
24,state[T.Virginia],   -0.4373,    0.015,  -28.675, 0.000,   -0.468,   -0.407
25,state[T.Washington],   -0.1863,    0.014,  -13.081, 0.000,   -0.214,   -0.158
26,state[T.Wisconsin],   -0.2062,    0.015,  -13.518, 0.000,   -0.236,   -0.176
27,state[T.Wyoming],   -0.1873,    0.015,  -12.280, 0.000,   -0.217,   -0.157
28,quarter_num[T.Quarter 1 2011],   -0.0024,    0.007,   -0.357, 0.722,   -0.016,    0.011
29,quarter_num[T.Quarter 2 2011],    0.0049,    0.007,    0.725, 0.470,   -0.008,    0.018
30,quarter_num[T.Quarter 3 2011],    0.0164,    0.007,    2.375, 0.019,    0.003,    0.030
31,quarter_num[T.Quarter 4 2011],    0.0123,    0.007,    1.778, 0.078,   -0.001,    0.026
32,quarter_num[T.Quarter 1 2012],    0.0175,    0.007,    2.531, 0.013,    0.004,    0.031
33,treated,   -0.0099,    0.011,   -0.910, 0.364,   -0.032,    0.012
